Fecha,Ib,Ig,Id,uv,To,hr,ws,p
2018-01-01 00:00:00,0.057,0.0,0.0,0.001,18.93,41.57,1.253,879.0692
2018-01-01 00:10:00,0.002,0.0,0.0,0.001,18.76,41.0,0.418,879.4363
2018-01-01 00:20:00,0.17,0.0,0.0,0.001,18.92,40.96,0.955,879.5181
2018-01-01 00:30:00,0.371,0.0,0.0,0.001,18.52,42.46,1.823,879.5826
2018-01-01 00:40:00,0.305,0.0,0.0,0.001,18.49,42.43,2.149,879.6826
2018-01-01 00:50:00,0.031,0.0,0.0,0.001,18.47,42.66,1.818,879.6572
2018-01-01 01:00:00,0.034,0.0,0.0,0.001,18.52,42.56,1.665,879.3943
2018-01-01 01:10:00,0.178,0.0,0.0,0.001,18.8,42.05,1.706,879.7149
2018-01-01 01:20:00,0.001,0.0,0.0,0.001,18.88,42.32,1.117,879.3454
2018-01-01 01:30:00,0.0,0.0,0.0,0.001,18.86,45.6,0.634,879.7399
2018-01-01 01:40:00,0.0,0.0,0.0,0.001,18.23,48.56,0.236,879.6896
2018-01-01 01:50:00,0.0,0.0,0.0,0.001,17.74,49.58,0.345,879.7796
2018-01-01 02:00:00,0.0,0.0,0.0,0.001,17.48,47.71,1.694,879.4608
2018-01-01 02:10:00,0.077,0.0,0.0,0.001,17.62,47.98,2.211,879.5995
2018-01-01 02:20:00,0.009,0.0,0.0,0.001,17.37,48.53,2.774,879.5427
2018-01-01 02:30:00,0.0,0.0,0.0,0.001,17.11,50.47,2.633,879.3618
2018-01-01 02:40:00,0.045,0.0,0.0,0.001,17.11,49.79,2.811,879.2644
2018-01-01 02:50:00,0.0,0.0,0.0,0.001,17.02,50.3,2.454,878.9791
2018-01-01 03:00:00,0.0,0.0,0.0,0.001,16.84,50.03,2.393,879.4934
2018-01-01 03:10:00,0.019,0.0,0.0,0.001,16.88,49.38,2.593,879.1656
2018-01-01 03:20:00,0.108,0.0,0.0,0.001,17.05,48.15,1.182,879.1754
2018-01-01 03:30:00,0.072,0.0,0.0,0.001,17.07,48.63,1.221,879.6489
2018-01-01 03:40:00,0.003,0.0,0.0,0.001,16.89,48.05,1.935,879.5831
2018-01-01 03:50:00,0.238,0.0,0.0,0.001,17.37,47.67,2.09,879.4934
2018-01-01 04:00:00,0.0,0.0,0.0,0.001,16.6,50.13,2.616,879.4774
2018-01-01 04:10:00,0.0,0.0,0.0,0.001,16.33,49.79,2.536,879.6645
2018-01-01 04:20:00,0.0,0.0,0.0,0.001,16.25,48.9,2.58,879.4615
2018-01-01 04:30:00,0.112,0.0,0.0,0.001,16.19,51.87,2.243,879.5093
2018-01-01 04:40:00,0.0,0.0,0.0,0.001,15.75,52.31,1.51,879.7232
2018-01-01 04:50:00,0.02,0.0,0.0,0.001,15.61,51.7,1.711,879.8209
2018-01-01 05:00:00,0.007,0.0,0.0,0.001,15.75,49.72,0.954,879.8939
2018-01-01 05:10:00,0.008,0.0,0.0,0.001,16.01,49.0,0.603,879.8206
2018-01-01 05:20:00,0.24,0.0,0.0,0.001,15.97,48.8,1.634,879.8087
2018-01-01 05:30:00,0.054,0.0,0.0,0.001,15.87,51.8,1.627,879.8648
2018-01-01 05:40:00,0.0,0.0,0.0,0.001,15.82,48.46,0.689,879.8184
2018-01-01 05:50:00,0.155,0.0,0.0,0.001,16.07,49.28,1.074,879.8839
2018-01-01 06:00:00,0.247,0.0,0.0,0.001,16.11,50.09,1.655,880.0306
2018-01-01 06:10:00,0.092,0.0,0.0,0.001,15.89,46.69,1.731,880.0162
2018-01-01 06:20:00,0.137,0.0,0.0,0.001,16.09,49.62,2.496,880.3491
2018-01-01 06:30:00,0.127,0.0,0.0,0.001,15.95,46.14,2.515,880.4636
2018-01-01 06:40:00,0.073,0.0,0.0,0.001,16.47,48.56,1.701,880.4135
2018-01-01 06:50:00,0.0,0.0,0.0,0.001,15.36,54.46,2.069,880.5383
2018-01-01 07:00:00,0.002,0.0,0.0,0.002,14.91,53.98,1.64,880.8123
2018-01-01 07:10:00,0.0,0.004,0.0,0.006,14.76,54.66,1.658,880.9359
2018-01-01 07:20:00,0.005,2.993,2.167,0.018,14.49,55.44,2.008,881.0939
2018-01-01 07:30:00,17.81,13.14,11.06,0.04,15.29,48.33,1.435,881.1965
2018-01-01 07:40:00,84.2,32.14,21.4,0.077,15.48,51.9,1.259,881.1368
2018-01-01 07:50:00,143.3,54.13,32.13,0.133,15.52,51.97,1.546,881.3184
2018-01-01 08:00:00,200.3,79.37,41.62,0.216,15.46,50.91,1.754,881.3942
2018-01-01 08:10:00,257.2,108.3,51.39,0.327,15.92,50.26,1.956,881.4641
